Imdb,Title,Year,Rating
TT0390384,Primer,2004,9
TT1464580,Stake Land,2010,7
TT1379177,The Disappearance Of Alice Creed,2009,7
TT2637276,Ted 2,2015,7
TT1547084,The Squad,2011,6
TT1340138,Terminator Genisys,2015,6
TT2293640,Minions,2015,6
TT3168230,Mr Holmes,2015,6
TT1713476,The Bay,2012,7
TT0962711,The Objective,2008,6
TT2375574,A Field In England,2013,6
TT2504580,Soulmate,2013,10
TT1337057,Rampage,2009,4
TT1433822,The Apparition,2012,6
TT2413338,Abducted,2013,4
TT1854582,The Helpers,2012,5
TT0880648,Shuttle,2008,8
TT0369610,Jurassic World,2015,5
TT0959329,Nine Dead,2010,2
TT1862079,Safety Not Guaranteed,2012,4
TT3079380,Spy,2015,5
TT0978764,Sucker Punch,2011,4
TT0110216,Junior,1994,2
TT1531901,Byzantium,2012,8
TT1103153,Killers,2010,5
TT0945513,Source Code,2011,6
TT1869470,Hollow,2011,4
TT2126355,San Andreas,2015,5
TT1392190,Mad Max : Fury Road,2015,8
TT1684233,Welcome To The Punch,2013,6
TT0804516,P2,2007,7
TT1563738,One Day,2011,6
TT2345567,Haunter,2014,5
TT1728976,Episode 50,2011,4
TT1322306,Exorcismus,2010,4
TT1780762,Aftershock,2012,4
TT2369135,Need For Speed,2014,4
TT1670345,Now You See Me,2013,8
TT3321300,Spooks: The Greater Good,2015,8
TT1428538,Hansel And Gretel Witch Hunters,2013,7
TT1291150,Teenage Mutant Ninja Turtles,2014,7
TT1921070,Pusher,2012,7
TT2294449,22 Jump Street,2014,7
TT1512235,Super,2010,7
TT0370263,Avp: Alien Vs Predator,2004,7
TT0103644,Alien 3,1992,7
TT0090605,Aliens,1986,7
TT0078748,Alien,1979,7
TT0468820,Norikos Dinner Table,2005,7
TT2024469,Non-Stop,2014,7
TT2234155,The Internship,2013,7
TT0790636,Dallas Buyers Club,2013,5
TT1921064,Pompeii,2014,3
TT1662293,Nothing Left To Fear,2013,7
TT1205537,Jack Ryan Shadow Recruit,2014,5
TT1234721,Robocop,2014,4
TT2172985,The Art Of The Steal,2013,6
TT1620604,We Are What We Are,2010,9
TT2226417,Insidious: Chapter Ii,2013,7
TT2034139,The Last Exocrism Ii,2013,4
TT2364841,Runner Runner,2013,6
TT0471042,Tower Heist,2011,5
TT0257076,S.W.A.T,2003,5
TT2600742,Ghost Shark,2013,1
TT1270761,Dont Be Afraid Of The Dark,2010,5
TT1340800,Tinker Tailor Solder Spy,2011,4
TT1397280,Taken 2,2012,4
TT1764234,Killing Them Softly,2012,3
TT1270798,X Men: First Class,2011,6
TT0381061,Casion Royale,2006,6
TT0089907,The Return Of The Dead,1985,3
TT1646987,Wrath Of The Titans,2012,3
TT0064603,The Love Bug,1968,3
TT1682940,Playback,2012,7
TT0401997,Breach,2007,4
TT0292610,No Good Deed,2002,3
TT2724064,Sharknado,2013,0
TT1462041,Dream House,2011,5
TT1838544,Gone,2012,5
TT1411232,13 Hrs (Night Wolf),2010,6
TT1323594,Despicable Me,2010,7
TT1343727,Dredd,2012,5
TT1601913,The Grey,2010,5
TT1016241,Splintered,2012,4
TT1622547,Thirty Minutes Or Less,2012,4
TT0408790,Flightplan,2012,4
TT1043673,Life Blood,2012,2
TT1596350,This Means War,2012,7
TT1507563,Dark Tide,2012,3
TT0856288,Inside,2005,8
TT1074638,Skyfall,2012,6
TT0399201,The Island,2005,8
TT0265087,Black Knight,2001,2
TT0865907,In To The Blue 2: The Reef,2009,3
TT0378109,In To The Blue,2005,4
TT2023587,Mama,2013,10
TT1077368,Dark Shadows,2012,5
TT2109184,Paranormal Activity 4,2012,6
TT1922777,Sinister,2012,8
TT1547234,Premium Rush,2012,5
TT1951218,Piggy,2012,7
TT1194173,The Bourne Legacy,2012,6
TT0419160,Spirit Trap,2005,3
TT1611224,Abraham Lincoln: Vampire Hunter,2012,5
TT1386703,Total Recall,2012,5
TT1093357,The Darkest Hour,2011,6
TT1486192,The Raven,2012,7
